iter	Passed	Remaining
757	1332	425
758	1333	423
759	1334	421
760	1335	419
761	1337	417
762	1338	415
763	1339	413
764	1340	411
765	1342	410
766	1343	408
767	1345	406
768	1346	404
769	1347	402
770	1348	400
771	1350	398
772	1351	396
773	1352	394
774	1353	392
775	1354	390
776	1355	389
777	1356	387
778	1357	385
779	1359	383
780	1360	381
781	1361	379
782	1363	377
783	1364	375
784	1365	373
785	1366	372
786	1368	370
787	1369	368
788	1371	366
789	1372	364
790	1373	362
791	1375	361
792	1376	359
793	1377	357
794	1378	355
795	1379	353
796	1381	351
797	1382	349
798	1383	348
799	1384	346
800	1385	344
801	1387	342
802	1388	340
803	1389	338
804	1390	336
805	1391	334
806	1392	333
807	1393	331
808	1395	329
809	1396	327
810	1396	325
811	1398	323
812	1399	321
813	1400	320
814	1401	318
815	1402	316
816	1404	314
817	1406	312
818	1407	311
819	1409	309
820	1410	307
821	1411	305
822	1413	303
823	1414	302
824	1415	300
825	1416	298
826	1417	296
827	1419	294
828	1420	293
829	1421	291
830	1423	289
831	1424	287
832	1425	285
833	1427	284
834	1428	282
835	1429	280
836	1431	278
837	1432	276
838	1433	275
839	1435	273
840	1437	271
841	1438	269
842	1439	268
843	1441	266
844	1442	264
845	1443	262
846	1445	261
847	1446	259
848	1447	257
849	1448	255
850	1449	253
851	1451	252
852	1452	250
853	1453	248
854	1454	246
855	1456	245
856	1457	243
857	1458	241
858	1459	239
859	1460	237
860	1462	236
861	1463	234
862	1465	232
863	1466	230
864	1467	229
865	1469	227
866	1470	225
867	1471	223
868	1472	222
869	1474	220
870	1475	218
871	1476	216
872	1477	214
873	1478	213
874	1480	211
875	1482	209
876	1483	208
877	1484	206
878	1485	204
879	1488	202
880	1489	201
881	1490	199
882	1492	197
883	1493	196
884	1495	194
885	1497	192
886	1498	190
887	1499	189
888	1501	187
889	1503	185
890	1504	184
891	1505	182
892	1507	180
893	1508	178
894	1510	177
895	1512	175
896	1513	173
897	1515	172
898	1516	170
899	1517	168
900	1519	166
901	1520	165
902	1522	163
903	1523	161
904	1525	160
905	1527	158
906	1528	156
907	1530	155
908	1531	153
909	1533	151
910	1534	149
911	1536	148
912	1537	146
913	1539	144
914	1541	143
915	1543	141
916	1545	139
917	1547	138
918	1548	136
919	1550	134
920	1551	133
921	1552	131
922	1554	129
923	1556	128
924	1557	126
925	1558	124
926	1560	122
927	1562	121
928	1563	119
929	1565	117
930	1566	116
931	1567	114
932	1569	112
933	1571	111
934	1573	109
935	1577	107
936	1578	106
937	1580	104
938	1581	102
939	1585	101
940	1587	99
941	1588	97
942	1590	96
943	1591	94
944	1593	92
945	1594	91
946	1595	89
947	1597	87
948	1600	86
949	1602	84
950	1603	82
951	1605	80
952	1606	79
953	1607	77
954	1609	75
955	1610	74
956	1612	72
957	1613	70
958	1615	69
959	1616	67
960	1618	65
961	1620	64
962	1622	62
963	1623	60
964	1626	58
965	1627	57
966	1629	55
967	1630	53
968	1632	52
969	1634	50
970	1635	48
971	1637	47
972	1638	45
973	1639	43
974	1641	42
975	1642	40
976	1644	38
977	1646	37
978	1647	35
979	1649	33
980	1650	31
981	1652	30
982	1653	28
983	1655	26
984	1657	25
985	1660	23
986	1661	21
987	1664	20
988	1665	18
989	1667	16
990	1668	15
991	1669	13
992	1671	11
993	1673	10
994	1675	8
995	1677	6
996	1678	5
997	1679	3
998	1681	1
999	1683	0
